"Part";"Value";"Device";"Package";"Description";"";
"3.3V";"";"1,6/0,9";"1,6/0,9";"THROUGH-HOLE PAD";"";
"5.0V";"";"1,6/0,9";"1,6/0,9";"THROUGH-HOLE PAD";"";
"B1";"JST 2-PH";"BATTERY";"JSTPH2";"CR1220 SMT - Digikey: 3001K-ND";"";
"BCM24,GPIO18";"";"1,6/0,9";"1,6/0,9";"THROUGH-HOLE PAD";"";
"BCM25,GPIO22";"";"1,6/0,9";"1,6/0,9";"THROUGH-HOLE PAD";"";
"C1";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C2";"2.2uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C3";"33nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C4";"0.1uF";"CAP_CERAMIC0805_10MGAP";"0805_10MGAP";"Ceramic Capacitors";"";
"C5";"1uF";"CPOL-US085CS-1AR";"085CS_1AR";"POLARIZED CAPACITOR, American symbol";"";
"C6";"100uF";"C-USC1210";"C1210";"CAPACITOR, American symbol";"";
"C7";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C8";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C9";"33nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C10";"1uF";"CPOL-US085CS-1AR";"085CS_1AR";"POLARIZED CAPACITOR, American symbol";"";
"CE0";"";"1,6/0,9";"1,6/0,9";"THROUGH-HOLE PAD";"";
"CE1";"";"1,6/0,9";"1,6/0,9";"THROUGH-HOLE PAD";"";
"CHRG/LBO";"ORANGE";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";
"CN4";"MicroUSB";"USBMICRO_20329";"4UCONN_20329";"USB Connectors";"";
"DONE";"GREEN";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";
"GND";"";"1,6/0,9";"1,6/0,9";"THROUGH-HOLE PAD";"";
"GND3";"";"1,6/0,9";"1,6/0,9";"THROUGH-HOLE PAD";"";
"GND_SPK";"";"1,6/0,9";"1,6/0,9";"THROUGH-HOLE PAD";"";
"JP2";"";"HEADER-1X8ROUND";"1X08_ROUND";"PIN HEADER";"";
"L1";"6.8uH";"INDUCTORTDK_VLC5045";"INDUCTOR_5X5MM_TDK_VLC5045";"Inductors";"";
"LED1";"RED";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";
"LED2";"BLUE";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";
"MISO";"";"1,6/0,9";"1,6/0,9";"THROUGH-HOLE PAD";"";
"MOSI";"";"1,6/0,9";"1,6/0,9";"THROUGH-HOLE PAD";"";
"ON/OFF";"";"EG1218S";"EG1218";"SLIDING SWITCH";"";
"R1";"1.87M";"RESISTOR_0805MP";"_0805MP";"Resistors";"";
"R2";"340K";"RESISTOR_0805MP";"_0805MP";"Resistors";"";
"R3";"1.87M";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R4";"200K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R5";"1K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R6";"270K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R7";"100K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R8";"1K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R9";"270R";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R10";"270R";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R11";"150R";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R12";"150R";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R13";"200K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R14";"1K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R15";"10KR";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R16";"1.0K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R17";"100K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R18";"10KR";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R20";"1K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"SCLK";"";"1,6/0,9";"1,6/0,9";"THROUGH-HOLE PAD";"";
"SPK";"";"1,6/0,9";"1,6/0,9";"THROUGH-HOLE PAD";"";
"T1";"MMUN2133LT1G";"MUN2114T1-PNP_DRIVER-SC59-BEC";"SC59-BEC";"PNP Bias Resistor Transistor";"";
"THERM";"15K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"U$9";"961240-6300-AR-PR";"961240-6300-AR-PR";"961240-6300-AR-PR";"";"";
"U$10";"SKRRAAE010";"SKRRAAE010";"SKRRAAE010";"";"";
"U$11";"SKRRAAE010";"SKRRAAE010";"SKRRAAE010";"";"";
"U$12";"SKRRAAE010";"SKRRAAE010";"SKRRAAE010";"";"";
"U$13";"SKRRAAE010";"SKRRAAE010";"SKRRAAE010";"";"";
"U$15";"SKRRAAE010";"SKRRAAE010";"SKRRAAE010";"";"";
"U$16";"SKRRAAE010";"SKRRAAE010";"SKRRAAE010";"";"";
"U$17";"SKRRAAE010";"SKRRAAE010";"SKRRAAE010";"";"";
"U$18";"SKRRAAE010";"SKRRAAE010";"SKRRAAE010";"";"";
"U$21";"TL3315NF100Q";"TL3315NF100Q";"TL3315NF100Q";"";"";
"U$22";"TL3315NF100Q";"TL3315NF100Q";"TL3315NF100Q";"";"";
"U$25";"TL3315NF100Q";"TL3315NF100Q";"TL3315NF100Q";"";"";
"U$26";"TL1105L-4,3";"TL1105L-4,3";"TL1105L-4,3";"";"";
"U$28";"TL1105L-4,3";"TL1105L-4,3";"TL1105L-4,3";"";"";
"U$29";"TL1105L-4,3";"TL1105L-4,3";"TL1105L-4,3";"";"";
"U$30";"TL1105L-4,3";"TL1105L-4,3";"TL1105L-4,3";"";"";
"U1";"TPS61090RSAR";"VREG_TPS6103X";"PVQFN-16";"TPS6103x 4A Boost - 1.8-5.5V Input, Adjustable Output to 5.5V";"";
"U2";"MCP73871";"MCP73871";"QFN20_4MM";"MCP73871 Lithium Polymer Battery Charger";"";
"X1";"STEREOJACK";"STEREOJACK";"STX3100";"MIC/HEADPHONE JACK";"";
